timestamp,query,response,sources
2025-10-30T19:30:14.008Z,multi-turn,"I'm ready to help you with questions about Weights & Biases! Feel free to ask me anything about the documentation, and I'll do my best to provide clear, concise answers.

What would you like to know?",[]
2025-10-30T19:30:14.008Z,any multi-turn evaluation features on weave,"Yes! Weave has multi-turn evaluation features. Based on the documentation:

**Multi-turn support in Weave:**
- From the **Threads sidebar tab**, you can view tool calls for a multi-turn Thread together with its message history
- The Threads feature allows you to track conversational flows across multiple turns

**For evaluations:**
- You can use the standard `Evaluation` framework or the flexible `EvaluationLogger` to evaluate multi-turn conversations
- Weave automatically traces all interactions, including nested calls and agent steps
- You can create custom scorers to evaluate multi-turn dialogue quality

The tracing system captures the full conversation context, making it easy to debug and evaluate multi-turn interactions in your LLM applications.

```suggestions
(Evaluations overview)[/weave/guides/core-types/evaluations]
(EvaluationLogger)[/weave/guides/evaluation/evaluation_logger]
(Tutorial: Build an Evaluation pipeline)[/weave/tutorial-eval]
```","[{""title"":""Evaluate models with W&B Weave and W&B Tables"",""url"":""models/evaluate-models""},{""title"":""Supported W&B Server releases"",""url"":""release-notes/server-releases""},{""title"":""Chain Of Density"",""url"":""weave/cookbooks/chain_of_density""},{""title"":""Trace and Evaluate a Computer Vision Pipeline with Weave"",""url"":""weave/cookbooks/ocr-pipeline""},{""title"":""Evaluations overview"",""url"":""weave/guides/core-types/evaluations""},{""title"":""EvaluationLogger"",""url"":""weave/guides/evaluation/evaluation_logger""},{""title"":""LangChain"",""url"":""weave/guides/integrations/langchain""},{""title"":""LlamaIndex"",""url"":""weave/guides/integrations/llamaindex""},{""title"":""Class: Evaluation<R, E, M>"",""url"":""weave/reference/typescript-sdk/classes/Evaluation""},{""title"":""Tutorial: Build an Evaluation pipeline"",""url"":""weave/tutorial-eval""}]"
2025-10-30T19:30:14.008Z,how about simulations?,"Yes, Weave has multi-turn evaluation features! Here's what's available:

**Threads for Multi-Turn Conversations**: Weave provides a `Threads` feature that tracks and analyzes multi-turn conversations. You can group related calls under a shared `thread_id` to visualize complete sessions and track conversation-level metrics across turns.

**Simulations**: While not explicitly called ""simulations,"" you can implement multi-turn agent loops manually using `@weave.op` decorators and `weave.thread()` context management. Each call creates a new turn in the thread, giving you full control over context and nesting.

**Example Pattern**:
```python
with weave.thread() as thread_ctx:
    agent.process_user_message(""Hello"")  # Turn 1
    agent.process_user_message(""Follow-up question"")  # Turn 2
```

You can use auto-generated thread IDs for short interactions or custom session IDs to persist context across sessions. The Threads UI lets you visualize tool calls and message history together.

```suggestions
(Threads documentation)[/weave/guides/tracking/threads]
(Evaluation guide)[/weave/tutorial-eval]
(Import traces from CSV)[/weave/cookbooks/import_from_csv]
```","[{""title"":""Evaluate models with W&B Weave and W&B Tables"",""url"":""models/evaluate-models""},{""title"":""Supported W&B Server releases"",""url"":""release-notes/server-releases""},{""title"":""Introduction to Evaluations"",""url"":""weave/cookbooks/Intro_to_Weave_Hello_Eval""},{""title"":""Chain Of Density"",""url"":""weave/cookbooks/chain_of_density""},{""title"":""EvaluationLogger"",""url"":""weave/guides/evaluation/evaluation_logger""},{""title"":""LlamaIndex"",""url"":""weave/guides/integrations/llamaindex""},{""title"":""Verdict"",""url"":""weave/guides/integrations/verdict""},{""title"":""Evaluation Playground"",""url"":""weave/guides/tools/evaluation_playground""},{""title"":""Class: Evaluation<R, E, M>"",""url"":""weave/reference/typescript-sdk/classes/Evaluation""},{""title"":""Tutorial: Build an Evaluation pipeline"",""url"":""weave/tutorial-eval""},{""title"":""Import From Csv"",""url"":""weave/cookbooks/import_from_csv""},{""title"":""Prompts"",""url"":""weave/guides/core-types/prompts""},{""title"":""AutoGen"",""url"":""weave/guides/integrations/autogen""},{""title"":""Hugging Face Hub"",""url"":""weave/guides/integrations/huggingface""},{""title"":""Model Context Protocol (MCP) and Weave"",""url"":""weave/guides/integrations/mcp""},{""title"":""MistralAI"",""url"":""weave/guides/integrations/mistral""},{""title"":""Weave in Workspaces"",""url"":""weave/guides/tools/weave-in-workspaces""},{""title"":""Class: MessagesPrompt"",""url"":""weave/reference/typescript-sdk/classes/MessagesPrompt""},{""title"":""Tutorial: Model-Based Evaluation of RAG applications"",""url"":""weave/tutorial-rag""}]"
2025-10-30T19:30:14.008Z,cani  label a prompt,"Based on my search results, I can answer your questions about Weave's multi-turn evaluation features and simulations:

## Multi-turn evaluation features

Yes, Weave has **multi-turn evaluation capabilities** through its **Threads** feature. From the release notes, Threads allow you to:

- Track and analyze multi-turn conversations in LLM applications
- Group related calls under a shared `thread_id`
- Visualize complete sessions and track conversation-level metrics across turns
- View tool calls for multi-turn threads together with message history

## Simulations

Regarding simulations, Weave has an integration with **Verifiers**, which is specifically designed for creating simulations and RL environments. According to the documentation:

- Verifiers is a library for creating Reinforcement Learning (RL) environments and training LLM agents
- Environments built with Verifiers can serve as **LLM evaluations, synthetic data pipelines, agent harnesses**, and RL training
- You can use Weave with Verifiers to trace rollouts, run evaluations, and fine-tune models with experiment tracking

## Labeling prompts

Yes, you can label prompts in Weave. The prompt management system allows you to:

- Create and publish prompts using `weave.StringPrompt` or `weave.MessagesPrompt`
- Add **names and descriptions** when publishing: `weave.publish(prompt, name=""your_prompt_name"")`
- Track versions automatically
- View and compare prompt versions in the UI

```suggestions
(Threads documentation)[/weave/guides/tracking/threads]
(Verifiers integration)[/weave/guides/integrations/verifiers]
(Prompts guide)[/weave/guides/core-types/prompts]
```","[{""title"":""Evaluate models with W&B Weave and W&B Tables"",""url"":""models/evaluate-models""},{""title"":""Supported W&B Server releases"",""url"":""release-notes/server-releases""},{""title"":""Chain Of Density"",""url"":""weave/cookbooks/chain_of_density""},{""title"":""Trace and Evaluate a Computer Vision Pipeline with Weave"",""url"":""weave/cookbooks/ocr-pipeline""},{""title"":""Evaluations overview"",""url"":""weave/guides/core-types/evaluations""},{""title"":""EvaluationLogger"",""url"":""weave/guides/evaluation/evaluation_logger""},{""title"":""LangChain"",""url"":""weave/guides/integrations/langchain""},{""title"":""LlamaIndex"",""url"":""weave/guides/integrations/llamaindex""},{""title"":""Class: Evaluation<R, E, M>"",""url"":""weave/reference/typescript-sdk/classes/Evaluation""},{""title"":""Tutorial: Build an Evaluation pipeline"",""url"":""weave/tutorial-eval""},{""title"":""Feedback Prod"",""url"":""weave/cookbooks/feedback_prod""},{""title"":""Import From Csv"",""url"":""weave/cookbooks/import_from_csv""},{""title"":""Prompts"",""url"":""weave/guides/core-types/prompts""},{""title"":""Evaluation Playground"",""url"":""weave/guides/tools/evaluation_playground""},{""title"":""Feedback"",""url"":""weave/guides/tracking/feedback""},{""title"":""Tracing Quickstart"",""url"":""weave/guides/tracking/tracing""},{""title"":""trace_server_interface"",""url"":""weave/reference/python-sdk/trace_server/trace_server_interface""},{""title"":""W&B Weave"",""url"":""weave""},{""title"":""AutoGen"",""url"":""weave/guides/integrations/autogen""},{""title"":""Google Agent Development Kit (ADK)"",""url"":""weave/guides/integrations/google_adk""},{""title"":""OpenAI Agents SDK"",""url"":""weave/guides/integrations/openai_agents""},{""title"":""Smolagents"",""url"":""weave/guides/integrations/smolagents""},{""title"":""Verifiers"",""url"":""weave/guides/integrations/verifiers""},{""title"":""W&B Weave Self-Managed"",""url"":""weave/guides/platform/weave-self-managed""},{""title"":""Weave in Workspaces"",""url"":""weave/guides/tools/weave-in-workspaces""},{""title"":""Track LLM inputs & outputs"",""url"":""weave/quickstart""}]"
2025-10-30T19:10:56.177Z,WeaveObject,"**WeaveObject** is a base class in Weave for creating objects with versioning and easy saving capabilities. It's used in both Python and TypeScript SDKs.

In **TypeScript**, WeaveObject provides:
- `name` and `description` properties
- `saveAttrs()` method for serialization
- Base functionality for classes like `Dataset` and `Evaluation`

In **Python**, WeaveObject is used similarly as a base for objects like `Dataset`. You can create instances, publish them with `weave.publish()`, and retrieve them using `weave.ref()`.

Want to learn more? These pages may help:
```suggestions
(TypeScript WeaveObject Reference)[/weave/reference/typescript-sdk/classes/WeaveObject]
(Python SDK Reference)[/weave/reference/python-sdk]
(Dataset Class)[/weave/reference/typescript-sdk/classes/Dataset]
```","[{""title"":""PII Data Handling"",""url"":""weave/cookbooks/pii""},{""title"":""Open Source"",""url"":""weave/open-source""},{""title"":""weave"",""url"":""weave/reference/python-sdk""},{""title"":""weave"",""url"":""weave/reference/typescript-sdk""},{""title"":""Class: Dataset<R>"",""url"":""weave/reference/typescript-sdk/classes/Dataset""},{""title"":""Class: Evaluation<R, E, M>"",""url"":""weave/reference/typescript-sdk/classes/Evaluation""},{""title"":""Class: MessagesPrompt"",""url"":""weave/reference/typescript-sdk/classes/MessagesPrompt""},{""title"":""Class: StringPrompt"",""url"":""weave/reference/typescript-sdk/classes/StringPrompt""},{""title"":""Class: WeaveClient"",""url"":""weave/reference/typescript-sdk/classes/WeaveClient""},{""title"":""Class: WeaveObject"",""url"":""weave/reference/typescript-sdk/classes/WeaveObject""}]"
2025-10-30T18:51:36.578Z,Describe this product in one sentence,"Weights & Biases is a platform for building, tracking, and optimizing AI models and applications across their entire lifecycle—from training ML models to deploying LLM applications in production.

Want to learn more? These pages may help:
```suggestions
(Get Started with Weights & Biases)[/get-started]
(W&B Models)[/models]
(W&B Weave)[/weave]
```","[{""title"":""Get Started with Weights & Biases"",""url"":""get-started""},{""title"":""Weights & Biases Documentation"",""url"":""index""},{""title"":""Weights & Biases ドキュメント"",""url"":""ja""},{""title"":""参照"",""url"":""ja/models/ref""},{""title"":""W&B ライセンスと バージョン を更新する"",""url"":""ja/platform/hosting/server-upgrade-process""},{""title"":""Configure SSO with OIDC"",""url"":""platform/hosting/iam/sso""},{""title"":""Community"",""url"":""weave/community""},{""title"":""Overview"",""url"":""weave/cookbooks""},{""title"":""Microsoft Azure"",""url"":""weave/guides/integrations/azure""},{""title"":""Overview"",""url"":""weave/reference""}]"
2025-10-30T17:39:54.553Z,artifact,"**Artifacts** in W&B are versioned collections of files and directories used to track datasets, model weights, and other files. They're stored in W&B and can be downloaded or used across different runs.

You can access artifacts through the project object using methods like `project.artifactVersion()` for specific versions or `project.artifact()` for all versions. Use `wandb.Artifact()` to create artifacts and `run.log_artifact()` to log them.

Want to learn more? These pages may help:
```suggestions
(Artifact API Reference)[/models/ref/python/artifact]
(Link artifact versions to registry)[/ko/models/core/registry/link_version]
(Query panels - Artifacts)[/ko/models/app/features/panels/query-panels]
```","[{""title"":""アーティファクト"",""url"":""ja/models/ref/query-panel/artifact""},{""title"":""Query panels"",""url"":""ko/models/app/features/panels/query-panels""},{""title"":""Link an artifact version to a registry"",""url"":""ko/models/core/registry/link_version""},{""title"":""Api"",""url"":""ko/models/ref/python/public-api/api""},{""title"":""Project"",""url"":""ko/models/ref/python/public-api/project""},{""title"":""artifact"",""url"":""ko/models/ref/query-panel/artifact""},{""title"":""ArtifactCollection"",""url"":""models/ref/python/public-api/ArtifactCollection""},{""title"":""ArtifactCollections"",""url"":""models/ref/python/public-api/ArtifactCollections""},{""title"":""ArtifactTypes"",""url"":""models/ref/python/public-api/ArtifactTypes""},{""title"":""Reports"",""url"":""models/ref/wandb_workspaces/reports""}]"
2025-10-30T17:39:54.553Z,I want to log artifacts for specific runs. E.g. I want in a given run to log multiple datatables for that run as artifacts.,"You can log multiple datatables as artifacts for a specific run. Use `wandb.Table()` to create tables and `run.log()` to log them to your run.

Here's how:

```python
import wandb

run = wandb.init(project=""your-project"")

# Create multiple tables
table1 = wandb.Table(columns=[""a"", ""b""], data=[[1, 2], [3, 4]])
table2 = wandb.Table(columns=[""x"", ""y""], data=[[5, 6], [7, 8]])

# Log them to the same run
run.log({""table_1"": table1})
run.log({""table_2"": table2})

run.finish()
```

Each table is logged with a unique key and appears in your run's workspace. You can log up to 200,000 rows per table.

Want to learn more? These pages may help:
```suggestions
(Log tables guide)[/models/track/log/log-tables]
(Artifacts overview)[/models/artifacts]
(Artifacts walkthrough)[/models/artifacts/artifacts-walkthrough]
```","[{""title"":""WandbEvalCallback"",""url"":""ko/models/ref/python/integrations/keras/wandbevalcallback""},{""title"":""Log tables"",""url"":""ko/models/track/log/log-tables""},{""title"":""Artifacts overview"",""url"":""models/artifacts""},{""title"":""Tutorial: Create, track, and use a dataset artifact"",""url"":""models/artifacts/artifacts-walkthrough""},{""title"":""Explore artifact graphs"",""url"":""models/artifacts/explore-and-traverse-an-artifact-graph""},{""title"":""Add wandb to any library"",""url"":""models/integrations/add-wandb-to-any-library""},{""title"":""Run"",""url"":""models/ref/python/public-api/Run""},{""title"":""Log tables"",""url"":""models/tables/log_tables""},{""title"":""Log tables"",""url"":""models/track/log/log-tables""},{""title"":""Track models and datasets"",""url"":""models/tutorials/artifacts""}]"
2025-10-30T17:39:54.553Z,no. lets assume they are artifacts. I want to log multiple artifacts for a given run.,"Yes, you can log multiple artifacts for a given run. Simply call `run.log_artifact()` multiple times within the same run. Each artifact can have a different name and type.

Here's an example:

```python
import wandb

with wandb.init(project=""my-project"") as run:
    # Log first artifact (e.g., a datatable)
    artifact1 = wandb.Artifact(""datatable-1"", type=""dataset"")
    artifact1.add_file(""data1.csv"")
    run.log_artifact(artifact1)
    
    # Log second artifact (e.g., another datatable)
    artifact2 = wandb.Artifact(""datatable-2"", type=""dataset"")
    artifact2.add_file(""data2.csv"")
    run.log_artifact(artifact2)
```

Each call to `run.log_artifact()` logs a separate artifact as an output of that run. You can view all logged artifacts in the run's lineage graph.

Want to know more? These pages may help:
```suggestions
(Log artifacts tutorial)[/models/artifacts/artifacts-walkthrough]
(Create artifact versions)[/models/artifacts/create-a-new-artifact-version]
(Track lineage)[/models/registry/lineage]
```","[{""title"":""Tutorial: Create, track, and use a dataset artifact"",""url"":""ko/models/artifacts/artifacts-walkthrough""},{""title"":""Create an artifact version"",""url"":""ko/models/artifacts/create-a-new-artifact-version""},{""title"":""Add wandb to any library"",""url"":""models/integrations/add-wandb-to-any-library""},{""title"":""Run"",""url"":""models/ref/python/experiments/run""},{""title"":""Run"",""url"":""models/ref/python/public-api/Run""},{""title"":""run"",""url"":""models/ref/query-panel/run""},{""title"":""Create and view lineage maps"",""url"":""models/registry/lineage""},{""title"":""Link an artifact version to a registry"",""url"":""models/registry/link_version""},{""title"":""Support"",""url"":""models/support""},{""title"":""Create an experiment"",""url"":""models/track/create-an-experiment""},{""title"":""Create and view lineage maps"",""url"":""ko/models/core/registry/lineage""},{""title"":""Create an artifact alias"",""url"":""models/artifacts/create-a-custom-alias""},{""title"":""Create an artifact version"",""url"":""models/artifacts/create-a-new-artifact-version""},{""title"":""Delete an artifact"",""url"":""models/artifacts/delete-artifacts""},{""title"":""Resume a run"",""url"":""models/runs/resuming""},{""title"":""Log tables"",""url"":""models/track/log/log-tables""},{""title"":""Track models and datasets"",""url"":""models/tutorials/artifacts""},{""title"":""When multiple jobs in a Docker queue download the same artifact, is any caching used, or is it re-downloaded every run?"",""url"":""platform/launch/launch-faq/docker_queues_run_multiple_jobs_download_same_artifact_useartifact""}]"
2025-10-30T17:39:54.553Z,run.log or wandb.log? What if I am not inside the wandb.init context,"Use **`run.log_artifact(artifact)`** to log multiple artifacts to a specific run. If you're outside the `wandb.init` context, you can still log artifacts using `artifact.save()`.

**Inside a run context:**
```python
with wandb.init() as run:
    artifact = wandb.Artifact(""name"", ""type"")
    artifact.add_file(""file.txt"")
    run.log_artifact(artifact)
```

**Outside a run context:**
```python
artifact = wandb.Artifact(""name"", ""type"")
artifact.add_file(""file.txt"")
artifact.save()
```

Both methods work for logging multiple artifacts—just repeat the process for each artifact you want to log.

Want to know more? These pages may help:
```suggestions
(Create an artifact)[/models/artifacts/construct-an-artifact]
(Artifacts overview)[/models/artifacts]
(Tutorial: Create, track, and use a dataset artifact)[/models/artifacts/artifacts-walkthrough]
```","[{""title"":""Tutorial: Create, track, and use a dataset artifact"",""url"":""ko/models/artifacts/artifacts-walkthrough""},{""title"":""Create and view lineage maps"",""url"":""ko/models/core/registry/lineage""},{""title"":""Artifacts overview"",""url"":""models/artifacts""},{""title"":""Create an artifact version"",""url"":""models/artifacts/create-a-new-artifact-version""},{""title"":""Delete an artifact"",""url"":""models/artifacts/delete-artifacts""},{""title"":""Run"",""url"":""models/ref/python/public-api/Run""},{""title"":""Create and view lineage maps"",""url"":""models/registry/lineage""},{""title"":""Support"",""url"":""models/support""},{""title"":""Log tables"",""url"":""models/track/log/log-tables""},{""title"":""Track models and datasets"",""url"":""models/tutorials/artifacts""},{""title"":""レジストリにアーティファクトバージョンをリンクする"",""url"":""ja/models/core/registry/link_version""},{""title"":""Create an artifact"",""url"":""ko/models/artifacts/construct-an-artifact""},{""title"":""Tutorial: Create, track, and use a dataset artifact"",""url"":""models/artifacts/artifacts-walkthrough""},{""title"":""Track external files"",""url"":""models/artifacts/track-external-files""},{""title"":""Link an artifact version to a registry"",""url"":""models/registry/link_version""}]"
