timestamp,query,response,sources
2025-10-30T19:30:14.008Z,any multi-turn evaluation features on weave,"Yes! Weave has multi-turn evaluation features. Based on the documentation:

**Multi-turn support in Weave:**
- From the **Threads sidebar tab**, you can view tool calls for a multi-turn Thread together with its message history
- The Threads feature allows you to track conversational flows across multiple turns

**For evaluations:**
- You can use the standard `Evaluation` framework or the flexible `EvaluationLogger` to evaluate multi-turn conversations
- Weave automatically traces all interactions, including nested calls and agent steps
- You can create custom scorers to evaluate multi-turn dialogue quality

The tracing system captures the full conversation context, making it easy to debug and evaluate multi-turn interactions in your LLM applications.

```suggestions
(Evaluations overview)[/weave/guides/core-types/evaluations]
(EvaluationLogger)[/weave/guides/evaluation/evaluation_logger]
(Tutorial: Build an Evaluation pipeline)[/weave/tutorial-eval]
```","[{""title"":""Evaluate models with W&B Weave and W&B Tables"",""url"":""models/evaluate-models""},{""title"":""Supported W&B Server releases"",""url"":""release-notes/server-releases""},{""title"":""Chain Of Density"",""url"":""weave/cookbooks/chain_of_density""},{""title"":""Trace and Evaluate a Computer Vision Pipeline with Weave"",""url"":""weave/cookbooks/ocr-pipeline""},{""title"":""Evaluations overview"",""url"":""weave/guides/core-types/evaluations""},{""title"":""EvaluationLogger"",""url"":""weave/guides/evaluation/evaluation_logger""},{""title"":""LangChain"",""url"":""weave/guides/integrations/langchain""},{""title"":""LlamaIndex"",""url"":""weave/guides/integrations/llamaindex""},{""title"":""Class: Evaluation<R, E, M>"",""url"":""weave/reference/typescript-sdk/classes/Evaluation""},{""title"":""Tutorial: Build an Evaluation pipeline"",""url"":""weave/tutorial-eval""}]"
2025-10-30T19:30:14.008Z,how about simulations?,"Yes, Weave has multi-turn evaluation features! Here's what's available:

**Threads for Multi-Turn Conversations**: Weave provides a `Threads` feature that tracks and analyzes multi-turn conversations. You can group related calls under a shared `thread_id` to visualize complete sessions and track conversation-level metrics across turns.

**Simulations**: While not explicitly called ""simulations,"" you can implement multi-turn agent loops manually using `@weave.op` decorators and `weave.thread()` context management. Each call creates a new turn in the thread, giving you full control over context and nesting.

**Example Pattern**:
```python
with weave.thread() as thread_ctx:
    agent.process_user_message(""Hello"")  # Turn 1
    agent.process_user_message(""Follow-up question"")  # Turn 2
```

You can use auto-generated thread IDs for short interactions or custom session IDs to persist context across sessions. The Threads UI lets you visualize tool calls and message history together.

```suggestions
(Threads documentation)[/weave/guides/tracking/threads]
(Evaluation guide)[/weave/tutorial-eval]
(Import traces from CSV)[/weave/cookbooks/import_from_csv]
```","[{""title"":""Evaluate models with W&B Weave and W&B Tables"",""url"":""models/evaluate-models""},{""title"":""Supported W&B Server releases"",""url"":""release-notes/server-releases""},{""title"":""Introduction to Evaluations"",""url"":""weave/cookbooks/Intro_to_Weave_Hello_Eval""},{""title"":""Chain Of Density"",""url"":""weave/cookbooks/chain_of_density""},{""title"":""EvaluationLogger"",""url"":""weave/guides/evaluation/evaluation_logger""},{""title"":""LlamaIndex"",""url"":""weave/guides/integrations/llamaindex""},{""title"":""Verdict"",""url"":""weave/guides/integrations/verdict""},{""title"":""Evaluation Playground"",""url"":""weave/guides/tools/evaluation_playground""},{""title"":""Class: Evaluation<R, E, M>"",""url"":""weave/reference/typescript-sdk/classes/Evaluation""},{""title"":""Tutorial: Build an Evaluation pipeline"",""url"":""weave/tutorial-eval""},{""title"":""Import From Csv"",""url"":""weave/cookbooks/import_from_csv""},{""title"":""Prompts"",""url"":""weave/guides/core-types/prompts""},{""title"":""AutoGen"",""url"":""weave/guides/integrations/autogen""},{""title"":""Hugging Face Hub"",""url"":""weave/guides/integrations/huggingface""},{""title"":""Model Context Protocol (MCP) and Weave"",""url"":""weave/guides/integrations/mcp""},{""title"":""MistralAI"",""url"":""weave/guides/integrations/mistral""},{""title"":""Weave in Workspaces"",""url"":""weave/guides/tools/weave-in-workspaces""},{""title"":""Class: MessagesPrompt"",""url"":""weave/reference/typescript-sdk/classes/MessagesPrompt""},{""title"":""Tutorial: Model-Based Evaluation of RAG applications"",""url"":""weave/tutorial-rag""}]"
2025-10-30T19:30:14.008Z,cani  label a prompt,"Based on my search results, I can answer your questions about Weave's multi-turn evaluation features and simulations:

## Multi-turn evaluation features

Yes, Weave has **multi-turn evaluation capabilities** through its **Threads** feature. From the release notes, Threads allow you to:

- Track and analyze multi-turn conversations in LLM applications
- Group related calls under a shared `thread_id`
- Visualize complete sessions and track conversation-level metrics across turns
- View tool calls for multi-turn threads together with message history

## Simulations

Regarding simulations, Weave has an integration with **Verifiers**, which is specifically designed for creating simulations and RL environments. According to the documentation:

- Verifiers is a library for creating Reinforcement Learning (RL) environments and training LLM agents
- Environments built with Verifiers can serve as **LLM evaluations, synthetic data pipelines, agent harnesses**, and RL training
- You can use Weave with Verifiers to trace rollouts, run evaluations, and fine-tune models with experiment tracking

## Labeling prompts

Yes, you can label prompts in Weave. The prompt management system allows you to:

- Create and publish prompts using `weave.StringPrompt` or `weave.MessagesPrompt`
- Add **names and descriptions** when publishing: `weave.publish(prompt, name=""your_prompt_name"")`
- Track versions automatically
- View and compare prompt versions in the UI

```suggestions
(Threads documentation)[/weave/guides/tracking/threads]
(Verifiers integration)[/weave/guides/integrations/verifiers]
(Prompts guide)[/weave/guides/core-types/prompts]
```","[{""title"":""Evaluate models with W&B Weave and W&B Tables"",""url"":""models/evaluate-models""},{""title"":""Supported W&B Server releases"",""url"":""release-notes/server-releases""},{""title"":""Chain Of Density"",""url"":""weave/cookbooks/chain_of_density""},{""title"":""Trace and Evaluate a Computer Vision Pipeline with Weave"",""url"":""weave/cookbooks/ocr-pipeline""},{""title"":""Evaluations overview"",""url"":""weave/guides/core-types/evaluations""},{""title"":""EvaluationLogger"",""url"":""weave/guides/evaluation/evaluation_logger""},{""title"":""LangChain"",""url"":""weave/guides/integrations/langchain""},{""title"":""LlamaIndex"",""url"":""weave/guides/integrations/llamaindex""},{""title"":""Class: Evaluation<R, E, M>"",""url"":""weave/reference/typescript-sdk/classes/Evaluation""},{""title"":""Tutorial: Build an Evaluation pipeline"",""url"":""weave/tutorial-eval""},{""title"":""Feedback Prod"",""url"":""weave/cookbooks/feedback_prod""},{""title"":""Import From Csv"",""url"":""weave/cookbooks/import_from_csv""},{""title"":""Prompts"",""url"":""weave/guides/core-types/prompts""},{""title"":""Evaluation Playground"",""url"":""weave/guides/tools/evaluation_playground""},{""title"":""Feedback"",""url"":""weave/guides/tracking/feedback""},{""title"":""Tracing Quickstart"",""url"":""weave/guides/tracking/tracing""},{""title"":""trace_server_interface"",""url"":""weave/reference/python-sdk/trace_server/trace_server_interface""},{""title"":""W&B Weave"",""url"":""weave""},{""title"":""AutoGen"",""url"":""weave/guides/integrations/autogen""},{""title"":""Google Agent Development Kit (ADK)"",""url"":""weave/guides/integrations/google_adk""},{""title"":""OpenAI Agents SDK"",""url"":""weave/guides/integrations/openai_agents""},{""title"":""Smolagents"",""url"":""weave/guides/integrations/smolagents""},{""title"":""Verifiers"",""url"":""weave/guides/integrations/verifiers""},{""title"":""W&B Weave Self-Managed"",""url"":""weave/guides/platform/weave-self-managed""},{""title"":""Weave in Workspaces"",""url"":""weave/guides/tools/weave-in-workspaces""},{""title"":""Track LLM inputs & outputs"",""url"":""weave/quickstart""}]"
2025-10-30T17:39:54.553Z,I want to log artifacts for specific runs. E.g. I want in a given run to log multiple datatables for that run as artifacts.,"You can log multiple datatables as artifacts for a specific run. Use `wandb.Table()` to create tables and `run.log()` to log them to your run.

Here's how:

```python
import wandb

run = wandb.init(project=""your-project"")

# Create multiple tables
table1 = wandb.Table(columns=[""a"", ""b""], data=[[1, 2], [3, 4]])
table2 = wandb.Table(columns=[""x"", ""y""], data=[[5, 6], [7, 8]])

# Log them to the same run
run.log({""table_1"": table1})
run.log({""table_2"": table2})

run.finish()
```

Each table is logged with a unique key and appears in your run's workspace. You can log up to 200,000 rows per table.

Want to learn more? These pages may help:
```suggestions
(Log tables guide)[/models/track/log/log-tables]
(Artifacts overview)[/models/artifacts]
(Artifacts walkthrough)[/models/artifacts/artifacts-walkthrough]
```","[{""title"":""WandbEvalCallback"",""url"":""ko/models/ref/python/integrations/keras/wandbevalcallback""},{""title"":""Log tables"",""url"":""ko/models/track/log/log-tables""},{""title"":""Artifacts overview"",""url"":""models/artifacts""},{""title"":""Tutorial: Create, track, and use a dataset artifact"",""url"":""models/artifacts/artifacts-walkthrough""},{""title"":""Explore artifact graphs"",""url"":""models/artifacts/explore-and-traverse-an-artifact-graph""},{""title"":""Add wandb to any library"",""url"":""models/integrations/add-wandb-to-any-library""},{""title"":""Run"",""url"":""models/ref/python/public-api/Run""},{""title"":""Log tables"",""url"":""models/tables/log_tables""},{""title"":""Log tables"",""url"":""models/track/log/log-tables""},{""title"":""Track models and datasets"",""url"":""models/tutorials/artifacts""}]"
2025-10-30T17:39:54.553Z,no. lets assume they are artifacts. I want to log multiple artifacts for a given run.,"Yes, you can log multiple artifacts for a given run. Simply call `run.log_artifact()` multiple times within the same run. Each artifact can have a different name and type.

Here's an example:

```python
import wandb

with wandb.init(project=""my-project"") as run:
    # Log first artifact (e.g., a datatable)
    artifact1 = wandb.Artifact(""datatable-1"", type=""dataset"")
    artifact1.add_file(""data1.csv"")
    run.log_artifact(artifact1)
    
    # Log second artifact (e.g., another datatable)
    artifact2 = wandb.Artifact(""datatable-2"", type=""dataset"")
    artifact2.add_file(""data2.csv"")
    run.log_artifact(artifact2)
```

Each call to `run.log_artifact()` logs a separate artifact as an output of that run. You can view all logged artifacts in the run's lineage graph.

Want to know more? These pages may help:
```suggestions
(Log artifacts tutorial)[/models/artifacts/artifacts-walkthrough]
(Create artifact versions)[/models/artifacts/create-a-new-artifact-version]
(Track lineage)[/models/registry/lineage]
```","[{""title"":""Tutorial: Create, track, and use a dataset artifact"",""url"":""ko/models/artifacts/artifacts-walkthrough""},{""title"":""Create an artifact version"",""url"":""ko/models/artifacts/create-a-new-artifact-version""},{""title"":""Add wandb to any library"",""url"":""models/integrations/add-wandb-to-any-library""},{""title"":""Run"",""url"":""models/ref/python/experiments/run""},{""title"":""Run"",""url"":""models/ref/python/public-api/Run""},{""title"":""run"",""url"":""models/ref/query-panel/run""},{""title"":""Create and view lineage maps"",""url"":""models/registry/lineage""},{""title"":""Link an artifact version to a registry"",""url"":""models/registry/link_version""},{""title"":""Support"",""url"":""models/support""},{""title"":""Create an experiment"",""url"":""models/track/create-an-experiment""},{""title"":""Create and view lineage maps"",""url"":""ko/models/core/registry/lineage""},{""title"":""Create an artifact alias"",""url"":""models/artifacts/create-a-custom-alias""},{""title"":""Create an artifact version"",""url"":""models/artifacts/create-a-new-artifact-version""},{""title"":""Delete an artifact"",""url"":""models/artifacts/delete-artifacts""},{""title"":""Resume a run"",""url"":""models/runs/resuming""},{""title"":""Log tables"",""url"":""models/track/log/log-tables""},{""title"":""Track models and datasets"",""url"":""models/tutorials/artifacts""},{""title"":""When multiple jobs in a Docker queue download the same artifact, is any caching used, or is it re-downloaded every run?"",""url"":""platform/launch/launch-faq/docker_queues_run_multiple_jobs_download_same_artifact_useartifact""}]"
2025-10-30T16:52:07.774Z,Query based routing,"Based on the search results, I found information about query-based routing in the context of LLM applications. The most relevant result is the NotDiamond custom routing cookbook.

**Query-based routing** refers to intelligently directing LLM prompts to the most appropriate model based on the query characteristics. According to the **NotDiamond Custom Routing** guide, you can train a custom router that learns which model performs best for different types of prompts, maximizing accuracy while optimizing costs and latency.

The approach requires evaluation results, prompts, and responses to train a router that routes queries to the optimal model from your candidate set.

Want to learn more about routing? These pages may help:
```suggestions
(NotDiamond Custom Routing)[/weave/cookbooks/notdiamond_custom_routing]
(Evaluate models)[/models/evaluate-models]
```","[{""title"":""Query Expression Language overview"",""url"":""models/ref/query-panel""},{""title"":""Weave via Service API"",""url"":""weave/cookbooks/weave_via_service_api""},{""title"":""Tracing Quickstart"",""url"":""weave/guides/tracking/tracing""},{""title"":""Troubleshooting"",""url"":""weave/guides/troubleshooting""},{""title"":""Calls Query Stream"",""url"":""weave/reference/service-api/calls/calls-query-stream""},{""title"":""Cost Query"",""url"":""weave/reference/service-api/costs/cost-query""},{""title"":""Feedback Query"",""url"":""weave/reference/service-api/feedback/feedback-query""},{""title"":""Objs Query"",""url"":""weave/reference/service-api/objects/objs-query""},{""title"":""Table Query"",""url"":""weave/reference/service-api/tables/table-query""},{""title"":""Evaluate models with W&B Weave and W&B Tables"",""url"":""models/evaluate-models""},{""title"":""Archived W&B Server releases"",""url"":""release-notes/server-releases-archived""},{""title"":""Overview"",""url"":""weave/cookbooks""},{""title"":""NotDiamond Custom Routing"",""url"":""weave/cookbooks/notdiamond_custom_routing""},{""title"":""Integrations overview"",""url"":""weave/guides/integrations""},{""title"":""Hugging Face Hub"",""url"":""weave/guides/integrations/huggingface""},{""title"":""LangChain"",""url"":""weave/guides/integrations/langchain""},{""title"":""OpenRouter"",""url"":""weave/guides/integrations/openrouter""},{""title"":""Playground"",""url"":""weave/guides/tools/playground""},{""title"":""Learn Weave with W&B Inference"",""url"":""weave/quickstart-inference""}]"
2025-10-30T16:50:10.438Z,delete artifact,"You can delete artifacts using the W&B App UI or SDK. When deleted, artifacts are first **soft-deleted** (marked for deletion), then permanently removed by a garbage collection process.

**To delete via App UI:**
1. Navigate to the artifact
2. Click the kebab menu (⋮)
3. Select ""Delete""

**To delete via SDK:**
```python
import wandb

# Delete a specific artifact
artifact = run.use_artifact(""artifact_name:alias"")
artifact.delete(delete_aliases=True)  # Set True if artifact has aliases
```

For more details, see the documentation on deleting artifacts.

```suggestions
(Delete an artifact)[/models/artifacts/delete-artifacts]
(Artifact API reference)[/models/ref/python/experiments/artifact]
(Manage artifact data retention)[/models/artifacts/ttl]
```","[{""title"":""Delete an artifact"",""url"":""ko/models/artifacts/delete-artifacts""},{""title"":""Artifact"",""url"":""ko/models/ref/python/artifact""},{""title"":""QueuedRun"",""url"":""ko/models/ref/python/public-api/queuedrun""},{""title"":""Run"",""url"":""ko/models/ref/python/public-api/run""},{""title"":""Create an artifact version"",""url"":""models/artifacts/create-a-new-artifact-version""},{""title"":""Artifact data privacy and compliance"",""url"":""models/artifacts/data-privacy-and-compliance""},{""title"":""Delete an artifact"",""url"":""models/artifacts/delete-artifacts""},{""title"":""Manage artifact data retention"",""url"":""models/artifacts/ttl""},{""title"":""Artifact"",""url"":""models/ref/python/experiments/artifact""},{""title"":""Run"",""url"":""models/ref/python/public-api/Run""}]"
2025-10-30T16:11:22.875Z,"{""code"":""pip install weave\n"",""content"":""Explain this code snippet"",""language"":""shellscript"",""filename"":"""",""expandable"":false,""numberOfLines"":""1""}","This command installs the Weave Python package. Weave is W&B's lightweight toolkit for tracking and evaluating LLM applications. Once installed, you can use it to trace LLM calls, log inputs/outputs, track experiments, and build evaluations—all with minimal setup.

Want to learn more about getting started with Weave?

```suggestions
(Track LLM inputs & outputs)[/weave/quickstart]
(Learn Weave with W&B Inference)[/weave/quickstart-inference]
(CrewAI Integration)[/weave/guides/integrations/crewai]
```","[{""title"":""Weave and Models integration demo"",""url"":""models/tutorials/weave_models_registry""},{""title"":""Audio With Weave"",""url"":""weave/cookbooks/audio_with_weave""},{""title"":""CrewAI"",""url"":""weave/guides/integrations/crewai""},{""title"":""Model Context Protocol (MCP) and Weave"",""url"":""weave/guides/integrations/mcp""},{""title"":""OpenAI Agents SDK"",""url"":""weave/guides/integrations/openai_agents""},{""title"":""Verifiers"",""url"":""weave/guides/integrations/verifiers""},{""title"":""Redacting PII"",""url"":""weave/guides/tracking/redact-pii""},{""title"":""Track LLM inputs & outputs"",""url"":""weave/quickstart""},{""title"":""Learn Weave with W&B Inference"",""url"":""weave/quickstart-inference""}]"
2025-10-30T15:50:19.504Z,how to launch an artefact based job queue?,"To launch an artifact-based job queue:

1. **Create a queue** with Docker/Kubernetes/SageMaker/Vertex as the resource at [wandb.ai/launch](https://wandb.ai/launch)
2. **Configure an agent** with a builder in your `launch-config.yaml`:
   ```yaml
   builder:
     type: docker | kaniko
   ```
3. **Start the agent** to poll your queue:
   ```bash
   wandb launch-agent -q <queue-name> -e <entity>
   ```
4. **Submit artifact jobs** via UI or CLI using `wandb launch --uri <local-dir>` or from the Jobs tab

Artifact-based jobs require the agent to have a builder configured to create container images from the code artifacts.

Want to learn more? These pages may help:
```suggestions
(Set up Launch)[/platform/launch/set-up-launch]
(Create a launch job)[/platform/launch/create-launch-job]
(Add job to queue)[/platform/launch/add-job-to-queue]
```","[{""title"":""Dagster"",""url"":""models/integrations/dagster""},{""title"":""NVIDIA NeMo Inference Microservice Deploy Job"",""url"":""models/integrations/nim""},{""title"":""Add job to queue"",""url"":""platform/launch/add-job-to-queue""},{""title"":""Create a launch job"",""url"":""platform/launch/create-launch-job""},{""title"":""When multiple jobs in a Docker queue download the same artifact, is any caching used, or is it re-downloaded every run?"",""url"":""platform/launch/launch-faq/docker_queues_run_multiple_jobs_download_same_artifact_useartifact""},{""title"":""Monitor launch queue"",""url"":""platform/launch/launch-queue-observability""},{""title"":""Launch terms and concepts"",""url"":""platform/launch/launch-terminology""},{""title"":""Set up Launch"",""url"":""platform/launch/set-up-launch""},{""title"":""Tutorial: W&B Launch basics"",""url"":""platform/launch/walkthrough""},{""title"":""Archived W&B Server releases"",""url"":""release-notes/server-releases-archived""}]"
2025-10-30T15:02:23.827Z,_weave_call,"`_weave_call` appears to be an internal implementation detail. Based on the documentation, you should use the **`.call()` method** on Weave ops to get both the result and Call object:

```python
result, call = my_op.call(input)
call_id = call.id
```

This is the recommended way to access call information for scoring, feedback, and tracking. The Call object provides access to the call ID, inputs, outputs, and other metadata.

Want to learn more? These pages may help:
```suggestions
(Ops guide)[/weave/guides/tracking/ops]
(Feedback guide)[/weave/guides/tracking/feedback]
(Scorers overview)[/weave/guides/evaluation/scorers]
```","[{""title"":""Import From Csv"",""url"":""weave/cookbooks/import_from_csv""},{""title"":""Online Monitoring"",""url"":""weave/cookbooks/online_monitoring""},{""title"":""Datasets"",""url"":""weave/guides/core-types/datasets""},{""title"":""Online Evaluation: Guardrails and Monitors"",""url"":""weave/guides/evaluation/guardrails_and_monitors""},{""title"":""Scoring Overview"",""url"":""weave/guides/evaluation/scorers""},{""title"":""Feedback"",""url"":""weave/guides/tracking/feedback""},{""title"":""Ops"",""url"":""weave/guides/tracking/ops""},{""title"":""weave_client"",""url"":""weave/reference/python-sdk/trace/weave_client""},{""title"":""Interface: CallSchema"",""url"":""weave/reference/typescript-sdk/interfaces/CallSchema""}]"
